"index_name","index_date","open_index_value","high_index_value","low_index_value","closing_index_value","points_change","change_percent","volume","turnover_rs_cr","pe_ratio","pb_ratio","div_yield"
"Nifty Smallcap250 Quality 50","05-04-2024","NaN","NaN","NaN","24451.72","44.79","0.18","90974730","3137.16","24.44","4.80","1.54"
"Nifty Smallcap250 Momentum Quality 100","05-04-2024","NaN","NaN","NaN","45746.08","242.01","0.53","271382987","8848.92","27.78","4.59","0.89"
"Nifty MidSmallcap400 Momentum Quality 100","05-04-2024","NaN","NaN","NaN","45418.09","211.42","0.47","346012714","12965.08","23.84","4.82","1.23"
"NIFTY100 ESG","05-04-2024","4406.95","4421.90","4395.75","4418.50","9.25","0.21","444760483","33788.84","25.68","4.58","1.06"
"NIFTY100 Enhanced ESG","05-04-2024","NaN","NaN","NaN","4450.12","9.32","0.21","444417878","33699.90","25.67","4.58","1.07"
"Nifty 50 Arbitrage","05-04-2024","NaN","NaN","NaN","2307.30","1.18","0.05","NaN","NaN","NaN","NaN","NaN"
"Nifty 8-13 yr G-Sec","05-04-2024","2582.92","2583.69","2579.93","2579.93","-2.49","-0.10","NaN","NaN","NaN","NaN","NaN"
"Nifty 4-8 yr G-Sec Index","05-04-2024","2800.82","2800.82","2799.43","2799.76","-0.53","-0.02","NaN","NaN","NaN","NaN","NaN"
"Nifty 11-15 yr G-Sec Index","05-04-2024","2851.70","2851.81","2847.99","2848.72","-2.42","-0.08","NaN","NaN","NaN","NaN","NaN"
"Nifty 15 yr and above G-Sec Index","05-04-2024","3143.77","3146.37","3135.65","3135.65","-7.51","-0.24","NaN","NaN","NaN","NaN","NaN"
"Nifty Composite G-sec Index","05-04-2024","2672.00","2672.94","2668.57","2668.60","-2.89","-0.11","NaN","NaN","NaN","NaN","NaN"
"Nifty 10 yr Benchmark G-Sec","05-04-2024","2287.06","2288.16","2283.03","2283.71","-2.91","-0.13","NaN","NaN","NaN","NaN","NaN"
"Nifty 10 yr Benchmark G-Sec (Clean Price)","05-04-2024","875.07","875.49","873.51","873.77","-1.30","-0.15","NaN","NaN","NaN","NaN","NaN"
"Nifty 1D Rate Index","05-04-2024","NaN","NaN","NaN","2262.28","0.40","0.02","NaN","NaN","NaN","NaN","NaN"
"Nifty50 USD","05-04-2024","NaN","NaN","NaN","9365.92","17.14","0.18","NaN","NaN","NaN","NaN","NaN"
"Nifty 50","04-04-2024","22592.10","22619.00","22303.80","22514.65","80.00","0.36","400986156","40705.56","23.07","3.95","1.19"
"Nifty Next 50","04-04-2024","62882.15","62951.00","62005.55","62158.95","-264.80","-0.42","422825178","16264.08","23.00","4.41","1.29"
"Nifty 100","04-04-2024","23304.20","23327.95","23034.00","23206.00","69.40","0.30","824995897","57048.93","23.47","4.06","1.17"
"Nifty 200","04-04-2024","12583.10","12594.95","12443.35","12524.45","32.00","0.26","2628093603","76842.52","24.64","4.10","1.10"
"Nifty 500","04-04-2024","20755.35","20772.40","20537.50","20664.65","58.95","0.29","3312184626","98495.58","25.23","4.15","1.06"
"Nifty Midcap 50","04-04-2024","14061.15","14079.00","13925.10","13941.15","-14.70","-0.11","1495964066","11272.33","34.17","4.64","0.79"
"NIFTY Midcap 100","04-04-2024","50101.10","50152.35","49605.80","49743.80","7.10","0.01","1803097706","19793.59","34.02","4.37","0.75"
"NIFTY Smallcap 100","04-04-2024","16287.75","16335.75","16137.80","16219.35","72.95","0.45","484307625","12893.17","27.10","3.88","0.86"
"Nifty50 Dividend Points","04-04-2024","NaN","NaN","NaN","0.00","0.00","NaN","NaN","NaN","NaN","NaN","NaN"
"Nifty Auto","04-04-2024","21672.70","21719.00","21404.85","21651.85","96.50","0.45","52824083","5106.57","25.40","5.60","0.93"
"Nifty Bank","04-04-2024","48086.20","48254.65","47712.70","48060.80","436.55","0.92","324271925","18895.59","16.15","2.83","0.76"
"Nifty Energy","04-04-2024","40023.80","40099.25","39270.70","39530.35","-174.20","-0.44","143991001","6963.91","13.44","2.55","2.17"
"Nifty Financial Services","04-04-2024","21390.10","21457.45","21220.50","21373.50","176.25","0.83","159333122","18409.17","17.89","3.33","0.81"
"Nifty FMCG","04-04-2024","54072.95","54116.00","53502.90","53634.45","-232.25","-0.43","42306230","3533.41","42.02","10.91","2.00"
"Nifty IT","04-04-2024","35314.70","35649.60","34915.15","35426.70","379.30","1.08","31144574","5522.34","30.38","7.62","2.00"
"Nifty Media","04-04-2024","1942.85","1945.15","1913.60","1923.80","-2.05","-0.11","65161978","377.61","NaN","2.00","0.37"
"Nifty Metal","04-04-2024","8797.30","8813.05","8608.40","8684.45","-6.75","-0.08","206416040","5362.50","28.63","2.55","2.09"
"Nifty MNC","04-04-2024","26414.60","26451.35","26163.40","26271.75","-18.70","-0.07","43831064","4123.70","44.30","9.30","1.85"
"Nifty Pharma","04-04-2024","19220.70","19222.00","18952.65","19125.20","-27.85","-0.15","19275964","2590.81","36.82","5.25","0.68"
"Nifty PSU Bank","04-04-2024","7371.80","7375.40","7219.95","7252.90","-50.95","-0.70","266134883","4709.31","9.91","1.68","1.46"
"Nifty Realty","04-04-2024","930.60","931.45","919.05","924.50","-0.35","-0.04","9668925","1064.15","60.60","5.84","0.25"
"Nifty India Consumption","04-04-2024","10187.95","10201.90","10082.20","10175.55","43.75","0.43","142308460","12340.35","47.28","8.63","1.02"
"Nifty Commodities","04-04-2024","8692.95","8708.40","8541.40","8595.40","-20.55","-0.24","288307214","12374.16","16.17","2.51","1.84"
"Nifty Dividend Opportunities 50","04-04-2024","5882.00","5885.50","5801.40","5833.60","-9.95","-0.17","653719829","22663.57","17.02","3.43","2.66"
"Nifty Infrastructure","04-04-2024","8499.80","8500.60","8356.05","8395.40","-52.80","-0.62","198858976","12656.51","21.19","3.31","1.14"
"Nifty PSE","04-04-2024","9605.90","9638.00","9392.30","9464.95","-63.40","-0.67","348597195","9423.32","10.66","2.44","2.96"
"Nifty Services Sector","04-04-2024","28263.40","28326.10","28024.95","28247.55","218.30","0.78","345579062","29678.16","22.94","4.08","1.09"
"Nifty50 Shariah","04-04-2024","NaN","NaN","NaN","4685.06","16.83","0.36","144544231","11305.53","28.20","5.16","1.90"
"Nifty500 Shariah","04-04-2024","NaN","NaN","NaN","6709.92","9.99","0.15","601512111","32349.14","32.74","5.49","1.30"
"Nifty Low Volatility 50","04-04-2024","NaN","NaN","NaN","22001.14","-40.95","-0.19","291388751","33577.61","30.92","5.12","1.10"
"Nifty Alpha 50","04-04-2024","49690.20","49776.00","49052.85","49411.75","166.55","0.34","468152718","14647.67","28.67","5.04","0.73"
"Nifty High Beta 50","04-04-2024","NaN","NaN","NaN","3863.91","3.65","0.09","1670078024","21185.23","23.31","2.19","1.47"
"Nifty100 Equal Weight","04-04-2024","29997.75","30006.10","29627.45","29756.55","-30.55","-0.10","824995897","57048.93","24.40","4.41","1.22"
"Nifty100 Liquid 15","04-04-2024","6518.05","6519.70","6416.60","6452.45","-25.25","-0.39","149743114","13202.39","24.65","3.53","0.79"
"Nifty CPSE","04-04-2024","6060.10","6077.15","5923.85","5979.20","-21.65","-0.36","249577501","5756.44","13.04","2.50","3.19"
"Nifty50 Value 20","04-04-2024","12347.00","12355.45","12172.25","12275.10","8.85","0.07","254153610","15687.34","19.29","3.60","2.15"
"Nifty Midcap Liquid 15","04-04-2024","11191.85","11203.75","11108.20","11137.15","28.30","0.25","124078468","3596.84","32.00","3.92","0.85"
"Nifty Shariah 25","04-04-2024","NaN","NaN","NaN","7827.05","9.50","0.12","123226772","10977.32","27.02","4.99","1.81"
"India VIX","04-04-2024","11.37","11.84","10.86","11.22","-0.15","-1.34","NaN","NaN","NaN","NaN","NaN"
"Nifty Growth Sectors 15","04-04-2024","10945.80","10982.30","10797.85","10941.70","45.20","0.41","65473217","8374.38","32.24","8.18","1.91"
"Nifty50 TR 1x Inverse","04-04-2024","179.40","181.70","179.30","180.05","-0.60","-0.33","NaN","NaN","NaN","NaN","NaN"
"Nifty50 TR 2x Leverage","04-04-2024","17996.45","18014.65","17546.05","17873.90","123.45","0.70","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 1x Inverse","04-04-2024","214.40","217.15","214.30","215.15","-0.70","-0.32","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 2x Leverage","04-04-2024","12576.95","12589.65","12262.20","12491.30","86.30","0.70","NaN","NaN","NaN","NaN","NaN"
"NIFTY100 Quality 30","04-04-2024","5191.55","5195.75","5136.35","5172.35","9.05","0.18","155400624","19483.96","31.09","8.45","1.77"
"Nifty Mahindra Group","04-04-2024","NaN","NaN","NaN","25018.43","221.43","0.89","7438710","988.16","25.23","3.75","1.61"
"Nifty 50 Futures TR Index","04-04-2024","NaN","NaN","NaN","24028.65","78.70","0.33","NaN","NaN","NaN","NaN","NaN"
"Nifty Tata Group","04-04-2024","NaN","NaN","NaN","18552.10","195.36","1.06","108439926","6257.21","40.99","8.94","1.11"
"Nifty Tata Group 25% Cap","04-04-2024","NaN","NaN","NaN","16440.87","140.36","0.86","99401360","5547.11","46.34","6.92","0.88"
"Nifty Private Bank","04-04-2024","23978.90","24050.90","23816.35","24012.35","265.45","1.12","249182527","16514.98","16.74","2.73","0.62"
"Nifty Smallcap 250","04-04-2024","15189.95","15223.05","15086.60","15159.25","93.90","0.62","651313918","19397.02","28.14","3.92","0.82"
"Nifty Smallcap 50","04-04-2024","7457.20","7476.90","7416.40","7445.35","47.00","0.64","209362548","6510.67","24.18","3.51","0.93"
"Nifty MidSmallcap 400","04-04-2024","17343.85","17363.30","17197.90","17260.35","42.40","0.25","2487188729","41446.65","32.10","4.42","0.77"
