"index_name","index_date","open_index_value","high_index_value","low_index_value","closing_index_value","points_change","change_percent","volume","turnover_rs_cr","pe_ratio","pb_ratio","div_yield"
"Nifty Realty","10-08-2020","204.60","210.00","204.60","209.75","5.80","2.84","23363181","355.00","39.00","1.89","0.43"
"Nifty India Consumption","10-08-2020","5075.65","5093.85","5060.95","5068.75","10.80","0.21","115748732","6850.11","217.66","6.04","1.40"
"Nifty Commodities","10-08-2020","3115.00","3116.85","3098.45","3110.85","19.45","0.63","173624623","6601.95","18.02","1.54","2.90"
"Nifty Dividend Opportunities 50","10-08-2020","2424.90","2434.05","2420.15","2428.20","16.45","0.68","425548465","8523.91","16.57","2.39","3.89"
"Nifty Infrastructure","10-08-2020","3207.70","3217.45","3188.60","3199.15","10.90","0.34","218613662","8651.54","58.76","2.10","2.07"
"Nifty PSE","10-08-2020","2519.70","2524.50","2501.55","2513.55","16.25","0.65","284883270","3184.44","9.95","1.02","6.13"
"Nifty Services Sector","10-08-2020","14602.35","14688.20","14571.50","14609.45","72.90","0.50","297601738","13659.75","28.63","3.09","1.40"
"Nifty50 Shariah","10-08-2020","NaN","NaN","NaN","2750.60","8.79","0.32","128694709","10152.47","28.29","4.95","2.17"
"Nifty500 Shariah","10-08-2020","NaN","NaN","NaN","3221.83","23.55","0.74","527711929","22175.14","30.13","4.65","1.75"
"Nifty Low Volatility 50","10-08-2020","NaN","NaN","NaN","11211.73","146.04","1.32","202855553","17993.64","25.93","4.25","1.64"
"Nifty Alpha 50","10-08-2020","15592.10","15687.05","15550.55","15665.80","254.20","1.65","116499614","12956.68","42.92","7.81","0.59"
"Nifty High Beta 50","10-08-2020","NaN","NaN","NaN","1124.39","9.49","0.85","1108922840","14867.87","NaN","1.21","1.62"
"Nifty100 Equal Weight","10-08-2020","12645.10","12716.65","12633.90","12687.35","134.10","1.07","746983109","40147.01","28.17","2.55","1.74"
"Nifty100 Liquid 15","10-08-2020","2798.95","2813.40","2782.00","2795.35","10.00","0.36","231467834","9178.93","79.47","1.68","1.49"
"Nifty CPSE","10-08-2020","1436.05","1449.70","1432.20","1442.15","23.50","1.66","116253213","1213.96","8.03","1.05","6.83"
"Nifty50 Value 20","10-08-2020","5545.00","5561.40","5530.65","5542.60","20.60","0.37","147596839","4897.38","18.82","2.98","3.13"
"Nifty Midcap Liquid 15","10-08-2020","3933.95","3949.45","3886.65","3916.60","41.00","1.06","203254673","3550.64","20.97","2.00","1.72"
"Nifty Shariah 25","10-08-2020","NaN","NaN","NaN","4492.54","46.91","1.06","174075473","11124.17","29.62","3.88","1.78"
"India VIX","10-08-2020","22.58","23.02","21.45","22.51","-0.07","-0.30","NaN","NaN","NaN","NaN","NaN"
"Nifty Growth Sectors 15","10-08-2020","5407.90","5454.65","5403.00","5430.60","49.20","0.91","182183835","13745.66","26.49","3.99","1.14"
"Nifty50 TR 1x Inverse","10-08-2020","338.80","339.80","336.80","338.80","-1.65","-0.48","NaN","NaN","NaN","NaN","NaN"
"Nifty50 TR 2x Leverage","10-08-2020","5321.85","5384.45","5291.90","5321.75","51.35","0.97","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 1x Inverse","10-08-2020","388.95","390.10","386.65","388.95","-1.85","-0.47","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 2x Leverage","10-08-2020","4033.40","4080.85","4010.65","4033.30","38.90","0.97","NaN","NaN","NaN","NaN","NaN"
"NIFTY100 Quality 30","10-08-2020","2680.35","2687.05","2662.70","2666.55","-6.00","-0.22","125623915","12574.77","27.40","6.64","2.00"
"Nifty 50 Futures TR Index","10-08-2020","NaN","NaN","NaN","11681.38","73.36","0.63","NaN","NaN","NaN","NaN","NaN"
"Nifty 50 Arbitrage","10-08-2020","NaN","NaN","NaN","1900.26","-1.01","-0.05","NaN","NaN","NaN","NaN","NaN"
"NIFTY50 Equal Weight","10-08-2020","11541.60","11617.85","11531.35","11583.45","112.55","0.98","491999534","29108.25","27.09","2.32","2.19"
"Nifty100 Low Volatility 30","10-08-2020","9070.25","9134.10","9060.45","9094.15","80.80","0.90","193432679","17105.64","23.74","4.16","1.98"
"NIFTY Alpha Low-Volatility 30","10-08-2020","11816.40","11907.60","11811.05","11871.45","181.45","1.55","164529205","16513.72","29.80","5.17","1.32"
"NIFTY Quality Low-Volatility 30","10-08-2020","NaN","NaN","NaN","8581.23","48.30","0.57","98831160","9141.14","27.82","6.99","1.91"
"NIFTY Alpha Quality Low-Volatility 30","10-08-2020","NaN","NaN","NaN","9876.31","52.88","0.54","110173416","12260.67","28.80","7.19","1.65"
"NIFTY Alpha Quality Value Low-Volatility 30","10-08-2020","NaN","NaN","NaN","7499.98","54.93","0.74","125180695","9820.74","20.47","4.52","2.39"
"NIFTY200 Quality 30","10-08-2020","10120.60","10143.05","10076.30","10091.55","38.30","0.38","114893503","9532.64","25.97","6.56","2.35"
"NIFTY Midcap150 Quality 50","10-08-2020","NaN","NaN","NaN","10648.86","143.04","1.36","159209021","3966.68","23.80","4.06","1.80"
"NIFTY LargeMidcap 250","10-08-2020","NaN","NaN","NaN","5773.77","52.97","0.93","1733828459","51256.25","54.96","2.79","1.35"
"NIFTY SME EMERGE","10-08-2020","NaN","NaN","NaN","1239.28","4.33","0.35","NaN","NaN","17.41","1.17","0.34"
"Nifty Oil & Gas","10-08-2020","NaN","NaN","NaN","5147.20","-14.12","-0.27","74037681","3830.20","18.67","1.65","3.45"
"Nifty Financial Services 25/50","10-08-2020","10944.45","11019.75","10907.70","10942.75","85.44","0.79","156735998","8786.47","21.30","2.54","0.92"
"Nifty100 ESG Sector Leaders","10-08-2020","NaN","NaN","NaN","1955.32","11.55","0.59","303857109","22859.08","35.52","3.85","1.62"
"NIFTY100 ESG","10-08-2020","NaN","NaN","NaN","2212.02","16.08","0.73","652840017","37883.58","36.38","3.54","1.38"
"NIFTY100 Enhanced ESG","10-08-2020","NaN","NaN","NaN","2224.34","14.00","0.63","606046305","35011.98","36.50","3.54","1.41"
"NIFTY500 Value 50","10-08-2020","NaN","NaN","NaN","3099.98","41.16","1.35","373189868","3913.02","10.08","0.78","6.01"
"NIFTY100 Alpha 30","10-08-2020","NaN","NaN","NaN","7900.83","98.73","1.27","117734085","12738.60","109.15","6.81","0.57"
"Nifty Consumer Durables","10-08-2020","NaN","NaN","NaN","14351.65","64.15","0.45","14403888","1302.88","54.23","9.19","0.70"
"Nifty Aditya Birla Group","10-08-2020","NaN","NaN","NaN","2671.99","-3.66","-0.14","434314409","933.56","NaN","1.33","0.39"
"Nifty Midcap 150","10-08-2020","6161.80","6193.10","6154.40","6176.55","73.90","1.21","986845350","11109.24","196.69","2.46","1.31"
"Nifty MidSmallcap 400","10-08-2020","5593.85","5626.90","5591.80","5616.15","73.30","1.32","1322150810","16466.40","66.50","2.29","1.42"
"Nifty Smallcap 50","10-08-2020","2557.95","2599.40","2556.25","2598.00","51.50","2.02","89154812","2389.51","23.25","2.18","1.32"
"Nifty Smallcap 250","10-08-2020","4579.40","4619.55","4577.20","4614.30","71.50","1.57","335305460","5357.16","26.59","1.98","1.67"
"Nifty Private Bank","10-08-2020","11965.10","12082.35","11913.20","11969.90","39.50","0.33","167915050","4816.59","25.61","2.06","0.71"
"Nifty Tata Group 25% Cap","10-08-2020","NaN","NaN","NaN","4736.78","48.21","1.03","130841362","3298.02","59.39","2.53","1.55"
"Nifty Tata Group","10-08-2020","NaN","NaN","NaN","7106.08","1.91","0.03","144499839","3431.32","37.31","5.35","2.94"
"Nifty Mahindra Group","10-08-2020","NaN","NaN","NaN","9469.21","295.31","3.22","23299532","1222.33","38.80","2.32","2.67"
"Nifty 50 Futures Index","10-08-2020","NaN","NaN","NaN","3779.07","22.47","0.60","NaN","NaN","NaN","NaN","NaN"
"Nifty 8-13 yr G-Sec","10-08-2020","2201.02","2201.02","2197.80","2200.62","-0.02","0.00","NaN","NaN","NaN","NaN","NaN"
"Nifty 4-8 yr G-Sec Index","10-08-2020","2344.20","2344.20","2341.06","2343.02","-0.78","-0.03","NaN","NaN","NaN","NaN","NaN"
"Nifty 11-15 yr G-Sec Index","10-08-2020","2375.07","2375.07","2371.11","2373.80","-0.85","-0.04","NaN","NaN","NaN","NaN","NaN"
"Nifty 15 yr and above G-Sec Index","10-08-2020","2620.03","2621.81","2618.63","2620.75","1.18","0.05","NaN","NaN","NaN","NaN","NaN"
"Nifty Composite G-sec Index","10-08-2020","2243.66","2243.66","2240.52","2243.02","-0.26","-0.01","NaN","NaN","NaN","NaN","NaN"
"Nifty 10 yr Benchmark G-Sec","10-08-2020","1997.43","1997.43","1993.42","1995.03","-2.08","-0.10","NaN","NaN","NaN","NaN","NaN"
"Nifty 10 yr Benchmark G-Sec (Clean Price)","10-08-2020","972.70","972.70","970.74","971.53","-1.17","-0.12","NaN","NaN","NaN","NaN","NaN"
"Nifty 1D Rate Index","10-08-2020","NaN","NaN","NaN","1901.56","0.50","0.03","NaN","NaN","NaN","NaN","NaN"
"Nifty50 USD","10-08-2020","NaN","NaN","NaN","5213.77","28.13","0.54","NaN","NaN","NaN","NaN","NaN"
"Nifty 50","06-08-2020","11185.70","11256.80","11127.30","11200.15","98.50","0.89","600374615","31501.08","30.68","3.15","1.47"
"Nifty Next 50","06-08-2020","27005.75","27109.40","26945.20","27064.45","190.15","0.71","225288256","9199.74","32.94","3.85","1.03"
"Nifty 100","06-08-2020","11329.50","11396.15","11278.15","11345.45","97.05","0.86","825662871","40700.82","30.97","3.23","1.41"
"Nifty 200","06-08-2020","5777.10","5811.80","5753.40","5788.45","51.25","0.89","1552509210","49531.23","33.70","3.05","1.42"
"Nifty 500","06-08-2020","9150.15","9205.10","9115.75","9169.10","80.35","0.88","1905172327","54572.49","33.57","2.98","1.42"
"Nifty Midcap 50","06-08-2020","4339.25","4365.70","4321.20","4356.40","37.85","0.88","678399462","7032.24","NaN","1.55","2.14"
"NIFTY Midcap 100","06-08-2020","15801.45","15927.30","15775.60","15905.15","179.45","1.14","726846339","8830.41","125.23","2.09","1.49"
"NIFTY Smallcap 100","06-08-2020","5212.20","5234.90","5190.25","5208.30","18.85","0.36","151297282","2616.45","21.25","1.93","1.53"
"Nifty50 Dividend Points","06-08-2020","NaN","NaN","NaN","41.78","0.00","NaN","NaN","NaN","NaN","NaN","NaN"
"Nifty Auto","06-08-2020","7521.95","7532.40","7433.10","7498.25","9.15","0.12","106790496","3342.27","57.28","3.38","2.03"
"Nifty Bank","06-08-2020","21644.25","21926.55","21370.30","21642.60","132.65","0.62","386597915","9575.39","22.97","1.79","0.59"
"Nifty Energy","06-08-2020","15467.60","15539.80","15337.50","15408.15","79.85","0.52","152399121","6487.49","15.65","1.37","3.83"
"Nifty Financial Services","06-08-2020","10769.10","10897.35","10666.80","10797.35","112.00","1.05","243087182","12445.65","23.16","2.73","0.76"
"Nifty FMCG","06-08-2020","31010.25","31326.85","30926.25","31287.60","424.00","1.37","46808207","2767.64","39.44","10.33","1.36"
"Nifty IT","06-08-2020","18009.70","18222.80","17943.85","18188.75","318.95","1.78","43928212","4212.55","24.16","6.22","2.23"
"Nifty Media","06-08-2020","1344.85","1359.35","1331.90","1336.70","1.35","0.10","56810438","803.06","315.57","1.69","1.72"
"Nifty Metal","06-08-2020","2268.05","2301.40","2255.60","2294.75","30.95","1.37","151521842","2332.43","11.00","1.09","3.93"
"Nifty MNC","06-08-2020","13752.45","13768.00","13683.15","13737.85","33.55","0.24","216397782","2946.92","NaN","5.52","1.20"
"Nifty Pharma","06-08-2020","11325.90","11478.50","11265.00","11403.65","139.90","1.24","49712577","4317.46","33.69","4.96","0.47"
"Nifty PSU Bank","06-08-2020","1425.90","1430.85","1408.35","1412.95","-4.55","-0.32","140463863","1584.48","NaN","0.60","0.00"
"Nifty Realty","06-08-2020","202.40","205.90","202.25","204.60","2.20","1.09","22712301","399.01","29.89","1.85","0.44"
"Nifty India Consumption","06-08-2020","5025.10","5035.55","4999.05","5025.10","25.30","0.51","127961487","6647.93","156.10","5.98","1.41"
"Nifty Commodities","06-08-2020","3061.20","3082.20","3048.00","3072.20","25.40","0.83","231951900","9709.82","17.76","1.52","2.94"
"Nifty Dividend Opportunities 50","06-08-2020","2399.65","2415.10","2392.25","2411.35","25.20","1.06","420469148","11118.39","16.45","2.38","3.92"
"Nifty Infrastructure","06-08-2020","3199.10","3203.35","3165.05","3176.90","-1.70","-0.05","230138364","9607.88","57.67","2.08","2.09"
"Nifty PSE","06-08-2020","2486.45","2518.60","2479.15","2490.35","17.30","0.70","259759788","2428.67","9.85","1.01","6.19"
"Nifty Services Sector","06-08-2020","14492.20","14625.60","14406.40","14550.45","169.05","1.18","464073515","19447.83","28.52","3.08","1.41"
"Nifty50 Shariah","06-08-2020","NaN","NaN","NaN","2752.14","45.12","1.67","140481276","7841.94","28.28","4.95","2.17"
"Nifty500 Shariah","06-08-2020","NaN","NaN","NaN","3198.27","44.58","1.41","431264174","16796.49","29.75","4.61","1.77"
"Nifty Low Volatility 50","06-08-2020","NaN","NaN","NaN","11027.02","99.21","0.91","153660219","12227.67","25.44","4.18","1.66"
"Nifty Alpha 50","06-08-2020","15229.15","15302.30","15173.05","15265.50","104.65","0.69","196053993","16114.44","41.58","7.61","0.60"
"Nifty High Beta 50","06-08-2020","NaN","NaN","NaN","1097.51","5.20","0.48","1017703467","20629.57","NaN","1.18","1.66"
"Nifty100 Equal Weight","06-08-2020","12475.90","12524.80","12430.05","12489.20","75.55","0.61","825662871","40700.82","27.29","2.51","1.77"
"Nifty100 Liquid 15","06-08-2020","2766.35","2775.90","2744.70","2762.25","9.90","0.36","300525700","10804.33","78.53","1.66","1.51"
"Nifty CPSE","06-08-2020","1415.90","1431.50","1407.85","1413.20","5.30","0.38","72308121","654.24","7.87","1.03","6.97"
"Nifty50 Value 20","06-08-2020","5497.10","5553.70","5478.10","5546.10","82.05","1.50","259346817","8093.46","18.83","2.99","3.13"
"Nifty Midcap Liquid 15","06-08-2020","3713.20","3777.30","3697.85","3770.35","78.10","2.12","193822359","3007.38","20.19","1.92","1.78"
"Nifty Shariah 25","06-08-2020","NaN","NaN","NaN","4420.96","34.43","0.78","123550038","6255.49","29.02","3.82","1.81"
"India VIX","06-08-2020","23.57","23.71","22.53","23.15","-0.42","-1.77","NaN","NaN","NaN","NaN","NaN"
"Nifty Growth Sectors 15","06-08-2020","5339.05","5397.15","5314.00","5364.55","61.55","1.16","181998305","12193.02","26.14","3.94","1.15"
"Nifty50 TR 1x Inverse","06-08-2020","341.25","343.00","339.10","340.85","-3.10","-0.90","NaN","NaN","NaN","NaN","NaN"
"Nifty50 TR 2x Leverage","06-08-2020","5244.35","5309.90","5192.90","5257.80","93.90","1.82","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 1x Inverse","06-08-2020","391.80","393.75","389.30","391.25","-3.50","-0.89","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 2x Leverage","06-08-2020","3974.65","4024.35","3935.60","3984.85","69.20","1.77","NaN","NaN","NaN","NaN","NaN"
"NIFTY100 Quality 30","06-08-2020","2643.05","2659.70","2635.75","2656.40","28.85","1.10","132763348","14086.32","27.25","6.62","2.01"
"Nifty Consumer Durables","06-08-2020","NaN","NaN","NaN","14451.26","78.91","0.55","14696850","1226.53","51.48","9.25","0.69"
"Nifty100 ESG Sector Leaders","06-08-2020","NaN","NaN","NaN","1948.25","16.81","0.87","311637191","21423.68","34.74","3.83","1.62"
"NIFTY Alpha Quality Low-Volatility 30","06-08-2020","NaN","NaN","NaN","9769.83","58.46","0.60","145986573","15731.09","28.39","7.11","1.66"
"NIFTY Alpha Low-Volatility 30","06-08-2020","NaN","NaN","NaN","11647.99","58.69","0.51","114176670","12571.63","29.11","5.07","1.34"
"Nifty Private Bank","06-08-2020","11824.80","11977.75","11663.25","11827.40","78.15","0.67","281838607","8260.71","25.30","2.03","0.72"
"NIFTY100 Alpha 30","06-08-2020","NaN","NaN","NaN","7764.70","32.69","0.42","159392304","15119.23","106.58","6.69","0.58"
"Nifty Oil & Gas","06-08-2020","NaN","NaN","NaN","5129.20","23.76","0.47","124971079","6526.29","18.60","1.64","3.46"
"NIFTY100 Enhanced ESG","06-08-2020","NaN","NaN","NaN","2209.75","20.35","0.93","677720515","36907.01","35.37","3.52","1.42"
"NIFTY100 ESG","06-08-2020","NaN","NaN","NaN","2196.17","20.28","0.93","708740668","38578.98","35.25","3.52","1.39"
"NIFTY SME EMERGE","06-08-2020","NaN","NaN","NaN","1233.12","11.70","0.96","NaN","NaN","17.32","1.16","0.34"
"NIFTY LargeMidcap 250","06-08-2020","NaN","NaN","NaN","5680.78","55.75","0.99","1568062256","50186.52","45.25","2.75","1.38"
"NIFTY200 Quality 30","06-08-2020","9958.55","10011.55","9933.40","9998.85","94.60","0.96","105953842","8954.13","25.68","6.50","2.38"
"NIFTY Alpha Quality Value Low-Volatility 30","06-08-2020","NaN","NaN","NaN","7420.88","46.17","0.63","157720490","11358.70","20.21","4.47","2.42"
"NIFTY Quality Low-Volatility 30","06-08-2020","NaN","NaN","NaN","8479.50","77.17","0.92","114223918","9584.16","27.41","6.90","1.94"
"Nifty100 Low Volatility 30","06-08-2020","8977.35","9005.00","8937.40","8985.55","63.90","0.72","163434494","16375.16","22.92","4.11","2.01"
"NIFTY50 Equal Weight","06-08-2020","11405.50","11463.35","11350.65","11421.40","76.90","0.68","600374615","31501.08","26.28","2.29","2.22"
"Nifty 50 Arbitrage","06-08-2020","NaN","NaN","NaN","1902.62","2.27","0.12","NaN","NaN","NaN","NaN","NaN"
"Nifty 50 Futures TR Index","06-08-2020","NaN","NaN","NaN","11579.10","85.55","0.74","NaN","NaN","NaN","NaN","NaN"
"Nifty 50 Futures Index","06-08-2020","NaN","NaN","NaN","3747.66","27.27","0.73","NaN","NaN","NaN","NaN","NaN"
"Nifty Aditya Birla Group","06-08-2020","NaN","NaN","NaN","2663.52","0.30","0.01","206714099","879.07","NaN","1.32","0.39"
"Nifty Midcap 150","06-08-2020","5987.50","6032.35","5980.85","6026.65","66.50","1.12","742399385","9485.70","83.34","2.40","1.34"
"Nifty MidSmallcap 400","06-08-2020","5453.75","5489.85","5447.80","5481.10","53.10","0.98","1074956512","13853.06","50.45","2.24","1.45"
"Nifty Smallcap 50","06-08-2020","2535.45","2543.65","2517.65","2523.75","-0.90","-0.04","85637644","1873.80","22.38","2.12","1.36"
"Nifty Smallcap 250","06-08-2020","4498.70","4526.45","4492.10","4505.70","29.90","0.67","332557127","4367.37","26.62","1.95","1.71"
"Nifty Tata Group 25% Cap","06-08-2020","NaN","NaN","NaN","4657.78","101.37","2.22","134050703","4233.78","56.16","2.49","1.57"
"Nifty Tata Group","06-08-2020","NaN","NaN","NaN","7118.24","149.19","2.14","144654281","4348.46","37.07","5.36","2.93"
"Nifty Mahindra Group","06-08-2020","NaN","NaN","NaN","9214.18","88.96","0.97","27999772","1013.72","25.23","2.26","2.74"
"NIFTY500 Value 50","06-08-2020","NaN","NaN","NaN","3047.46","31.86","1.06","435022795","4667.03","9.96","0.77","6.11"
"Nifty 8-13 yr G-Sec","06-08-2020","2208.87","2210.75","2202.26","2203.49","-5.01","-0.23","NaN","NaN","NaN","NaN","NaN"
"Nifty 4-8 yr G-Sec Index","06-08-2020","2352.73","2354.58","2348.14","2348.50","-3.83","-0.16","NaN","NaN","NaN","NaN","NaN"
"Nifty 11-15 yr G-Sec Index","06-08-2020","2387.13","2388.15","2377.48","2379.10","-7.62","-0.32","NaN","NaN","NaN","NaN","NaN"
"Nifty 15 yr and above G-Sec Index","06-08-2020","2640.40","2640.40","2639.90","2639.90","-0.04","0.00","NaN","NaN","NaN","NaN","NaN"
"Nifty Composite G-sec Index","06-08-2020","2252.06","2253.94","2245.65","2246.93","-4.74","-0.21","NaN","NaN","NaN","NaN","NaN"
"Nifty 10 yr Benchmark G-Sec","06-08-2020","2004.83","2007.65","1996.05","1999.68","-4.83","-0.24","NaN","NaN","NaN","NaN","NaN"
"Nifty 10 yr Benchmark G-Sec (Clean Price)","06-08-2020","976.99","978.38","972.65","974.44","-2.55","-0.26","NaN","NaN","NaN","NaN","NaN"
"Nifty 1D Rate Index","06-08-2020","NaN","NaN","NaN","1900.90","0.16","0.01","NaN","NaN","NaN","NaN","NaN"
"Nifty50 USD","06-08-2020","NaN","NaN","NaN","5178.96","46.07","0.90","NaN","NaN","NaN","NaN","NaN"
"Nifty 50","05-08-2020","11155.75","11225.65","11064.05","11101.65","6.40","0.06","667639446","34894.58","30.41","3.13","1.48"
"Nifty Next 50","05-08-2020","27026.30","27155.75","26832.05","26874.30","-22.90","-0.09","200367716","7627.90","32.84","3.82","1.04"
"Nifty 100","05-08-2020","11304.40","11368.40","11213.25","11248.40","4.30","0.04","868007162","42522.48","30.72","3.20","1.42"
"Nifty 200","05-08-2020","5764.50","5795.95","5719.70","5737.20","5.30","0.09","1671963673","51206.57","33.42","3.02","1.43"
"Nifty 500","05-08-2020","9126.65","9175.45","9060.80","9088.75","13.80","0.15","2032470879","57081.53","33.27","2.96","1.43"
"Nifty Midcap 50","05-08-2020","4321.60","4354.10","4295.65","4318.55","29.90","0.70","760421847","7240.28","NaN","1.53","2.16"
"NIFTY Midcap 100","05-08-2020","15771.20","15853.55","15685.95","15725.70","85.30","0.55","803956511","8684.10","123.10","2.06","1.51"
"NIFTY Smallcap 100","05-08-2020","5169.00","5199.45","5152.55","5189.45","57.75","1.13","193611829","3873.71","21.24","1.93","1.54"
"Nifty50 Dividend Points","05-08-2020","NaN","NaN","NaN","38.89","0.00","NaN","NaN","NaN","NaN","NaN","NaN"
"Nifty Auto","05-08-2020","7397.00","7511.80","7392.20","7489.10","135.15","1.84","168322483","4710.66","57.21","3.38","2.04"
"Nifty Bank","05-08-2020","21686.85","21936.50","21448.40","21509.95","19.45","0.09","338829581","8818.01","22.83","1.78","0.59"
"Nifty Energy","05-08-2020","15476.90","15566.50","15297.70","15328.30","-79.85","-0.52","122207628","8617.69","15.57","1.36","3.85"
"Nifty Financial Services","05-08-2020","10772.20","10894.45","10659.70","10685.35","-20.65","-0.19","226719750","11830.10","22.92","2.70","0.77"
"Nifty FMCG","05-08-2020","31050.30","31090.10","30728.50","30863.60","-38.05","-0.12","85517874","3693.94","38.93","10.19","1.38"
"Nifty IT","05-08-2020","17889.55","18139.25","17818.15","17869.80","61.80","0.35","35461274","3470.39","23.73","6.12","2.27"
"Nifty Media","05-08-2020","1331.05","1343.25","1320.95","1335.35","15.05","1.14","57672062","797.14","315.25","1.69","1.72"
"Nifty Metal","05-08-2020","2190.70","2272.75","2190.35","2263.80","86.45","3.97","240099199","3257.14","10.85","1.08","3.98"
"Nifty MNC","05-08-2020","13690.10","13748.65","13649.60","13704.30","68.65","0.50","341637860","3663.86","NaN","5.51","1.21"
"Nifty Pharma","05-08-2020","11397.70","11413.85","11239.05","11263.75","-53.20","-0.47","51156254","3819.55","33.59","4.90","0.47"
"Nifty PSU Bank","05-08-2020","1426.55","1445.05","1414.30","1417.50","-2.70","-0.19","133743497","1636.82","NaN","0.61","0.00"
"Nifty Realty","05-08-2020","203.25","204.90","200.90","202.40","0.15","0.07","18369100","350.91","29.57","1.83","0.44"
"Nifty India Consumption","05-08-2020","4988.80","5009.70","4971.05","4999.80","32.60","0.66","148370549","8021.51","155.59","5.95","1.42"
"Nifty Commodities","05-08-2020","3039.05","3061.50","3032.95","3046.80","27.15","0.90","248985782","12765.79","17.62","1.51","2.96"
"Nifty Dividend Opportunities 50","05-08-2020","2391.00","2401.20","2376.85","2386.15","3.80","0.16","388693582","9782.16","16.28","2.35","3.96"
"Nifty Infrastructure","05-08-2020","3182.50","3200.95","3158.15","3178.60","10.95","0.35","215185848","12502.86","57.70","2.09","2.09"
"Nifty PSE","05-08-2020","2474.95","2490.85","2467.25","2473.05","5.30","0.21","247880123","2064.19","9.79","1.00","6.23"
"Nifty Services Sector","05-08-2020","14461.30","14593.85","14331.45","14381.40","-4.20","-0.03","398746551","17757.41","28.19","3.05","1.43"
"Nifty50 Shariah","05-08-2020","NaN","NaN","NaN","2707.02","3.55","0.13","124813185","7049.96","27.82","4.87","2.20"
"Nifty500 Shariah","05-08-2020","NaN","NaN","NaN","3153.69","6.04","0.19","421045777","16093.46","29.39","4.55","1.79"
"Nifty Low Volatility 50","05-08-2020","NaN","NaN","NaN","10927.81","5.91","0.05","167475854","11511.27","25.23","4.14","1.68"
"Nifty Alpha 50","05-08-2020","15168.95","15284.80","15132.80","15160.85","96.65","0.64","167607596","16939.23","41.03","7.55","0.61"
"Nifty High Beta 50","05-08-2020","NaN","NaN","NaN","1092.31","9.92","0.92","1126629119","19206.98","NaN","1.18","1.67"
"Nifty100 Equal Weight","05-08-2020","12416.90","12486.85","12365.35","12413.65","61.65","0.50","868007162","42522.48","27.19","2.50","1.78"
"Nifty100 Liquid 15","05-08-2020","2734.15","2773.15","2730.80","2752.35","40.45","1.49","377264557","12803.97","78.25","1.66","1.52"
"Nifty CPSE","05-08-2020","1410.50","1417.20","1403.75","1407.90","0.25","0.02","61529738","564.06","7.84","1.03","6.99"
"Nifty50 Value 20","05-08-2020","5469.60","5500.95","5437.85","5464.05","10.60","0.19","273411437","8254.82","18.55","2.94","3.17"
"Nifty Midcap Liquid 15","05-08-2020","3705.35","3737.95","3667.70","3692.25","27.55","0.75","173864319","3473.72","19.95","1.88","1.82"
"Nifty Shariah 25","05-08-2020","NaN","NaN","NaN","4386.53","3.32","0.08","97438994","5637.26","28.81","3.79","1.83"
"India VIX","05-08-2020","23.82","23.93","21.83","23.57","-0.25","-1.04","NaN","NaN","NaN","NaN","NaN"
"Nifty Growth Sectors 15","05-08-2020","5325.25","5367.20","5287.40","5303.00","3.45","0.07","192453994","11832.82","25.85","3.89","1.16"
"Nifty50 TR 1x Inverse","05-08-2020","342.25","345.10","340.10","343.95","-0.25","-0.07","NaN","NaN","NaN","NaN","NaN"
"Nifty50 TR 2x Leverage","05-08-2020","5214.15","5278.50","5129.75","5163.90","8.10","0.16","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 1x Inverse","05-08-2020","392.80","396.05","390.35","394.75","-0.20","-0.05","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 2x Leverage","05-08-2020","3953.80","4002.60","3889.75","3915.65","4.15","0.11","NaN","NaN","NaN","NaN","NaN"
"NIFTY100 Quality 30","05-08-2020","2634.40","2645.85","2617.95","2627.55","4.70","0.18","153425833","13849.05","26.96","6.55","2.03"
"NIFTY100 Alpha 30","05-08-2020","NaN","NaN","NaN","7732.01","-10.43","-0.13","155377317","15887.56","107.98","6.66","0.58"
"Nifty MidSmallcap 400","05-08-2020","5431.60","5457.35","5412.35","5428.00","35.20","0.65","1152891417","14511.89","49.78","2.22","1.47"
"Nifty 50 Futures TR Index","05-08-2020","NaN","NaN","NaN","11493.55","17.80","0.16","NaN","NaN","NaN","NaN","NaN"
"NIFTY Alpha Low-Volatility 30","05-08-2020","NaN","NaN","NaN","11589.31","-20.98","-0.18","127825073","14612.52","29.14","5.04","1.35"
"NIFTY200 Quality 30","05-08-2020","9916.05","9954.25","9865.25","9904.25","27.15","0.27","137709937","9651.51","25.45","6.44","2.40"
"Nifty Oil & Gas","05-08-2020","NaN","NaN","NaN","5105.43","-9.48","-0.19","106217526","8761.53","18.46","1.63","3.48"
"NIFTY500 Value 50","05-08-2020","NaN","NaN","NaN","3015.60","42.72","1.44","455812478","5135.07","9.86","0.76","6.18"
"Nifty Consumer Durables","05-08-2020","NaN","NaN","NaN","14372.35","231.10","1.63","15695071","1466.92","50.98","9.20","0.70"
"Nifty 50 Futures Index","05-08-2020","NaN","NaN","NaN","3720.39","5.34","0.14","NaN","NaN","NaN","NaN","NaN"
